temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm,tree_age_years,soil_type,growth_stage,water_need_liters
27.2,46.7,20.5,0.1,18,Sandy,Vegetative,7.3
22.1,72.9,5.1,10.1,8,Clay,Vegetative,0.8
22.2,37.1,3.6,0.0,20,Sandy,Vegetative,1.4
32.6,60.3,4.3,2.2,23,Loam,Flowering,5.0
33.2,71.6,0.6,3.0,1,Clay,Vegetative,0.0
31.8,66.9,2.9,2.3,17,Clay,Vegetative,2.2
23.3,89.5,32.4,1.4,15,Clay,Flowering,0.0
29.6,41.3,4.3,5.5,11,Loam,Flowering,0.0
28.8,30.2,3.8,6.1,2,Sandy,Vegetative,2.4
29.5,37.1,7.2,1.5,3,Loam,Fruiting,3.8
34.1,66.9,6.9,2.0,22,Sandy,Vegetative,4.3
29.6,64.0,1.0,2.1,24,Clay,Fruiting,2.5
32.8,56.8,8.6,3.2,13,Loam,Fruiting,3.6
28.5,34.8,1.0,0.6,28,Loam,Flowering,6.2
30.0,68.8,1.8,0.2,27,Sandy,Vegetative,4.7
32.4,33.0,0.5,1.6,20,Loam,Fruiting,10.3
17.8,75.9,12.3,0.3,17,Clay,Vegetative,1.9
25.8,98.0,10.1,1.8,28,Loam,Vegetative,2.5
24.7,61.6,3.5,4.5,18,Sandy,Flowering,0.0
23.5,65.5,8.7,1.7,28,Sandy,Flowering,4.0
26.1,46.1,17.8,2.2,29,Loam,Fruiting,6.3
38.5,22.4,1.5,2.6,6,Sandy,Fruiting,7.2
21.9,44.2,3.8,3.8,20,Clay,Fruiting,0.8
34.8,35.3,0.9,2.4,22,Loam,Fruiting,7.9
16.2,29.0,0.1,1.6,24,Sandy,Flowering,6.3
25.7,86.0,1.4,1.5,11,Loam,Flowering,3.6
29.1,59.9,8.0,0.6,25,Loam,Fruiting,9.3
32.1,61.8,6.3,1.5,15,Sandy,Fruiting,9.5
33.0,49.4,4.2,4.0,12,Loam,Fruiting,7.1
33.6,51.9,7.1,1.4,5,Sandy,Fruiting,5.3
25.6,72.4,15.1,1.2,10,Loam,Flowering,3.8
24.8,54.4,6.7,2.2,29,Clay,Vegetative,1.3
34.0,64.6,11.1,0.5,21,Clay,Fruiting,8.3
26.7,51.5,5.1,0.2,22,Loam,Vegetative,5.8
19.1,48.8,0.4,3.5,26,Loam,Vegetative,0.5
20.1,29.7,4.3,0.9,8,Sandy,Flowering,5.9
21.6,19.4,15.7,0.8,20,Loam,Flowering,3.9
31.5,50.3,7.3,5.6,11,Sandy,Flowering,5.3
29.0,56.0,36.4,6.5,25,Loam,Vegetative,3.0
32.8,31.8,8.0,1.9,13,Sandy,Vegetative,6.8
25.0,54.4,13.1,2.7,25,Clay,Vegetative,1.9
29.1,56.0,14.5,9.1,22,Clay,Vegetative,1.4
32.4,16.2,6.2,1.4,23,Loam,Vegetative,3.3
25.8,38.5,5.2,5.3,27,Loam,Fruiting,3.0
31.2,62.3,8.0,3.6,23,Sandy,Vegetative,4.0
23.4,62.0,14.1,8.1,10,Loam,Vegetative,0.0
25.5,34.2,11.1,0.7,16,Sandy,Vegetative,6.0
25.3,57.9,10.5,4.4,14,Sandy,Flowering,0.6
19.6,73.4,1.4,0.5,2,Loam,Fruiting,0.6
31.4,69.0,4.2,4.4,18,Loam,Vegetative,1.4
24.7,53.3,9.7,1.0,13,Loam,Vegetative,1.8
28.1,46.6,5.2,0.2,12,Loam,Fruiting,7.0
31.4,43.7,20.2,4.7,4,Sandy,Vegetative,1.0
31.1,63.4,0.5,0.1,15,Sandy,Fruiting,6.9
32.7,58.5,3.0,5.0,17,Loam,Fruiting,5.1
27.3,66.3,0.4,0.6,4,Loam,Flowering,1.4
25.0,57.4,2.8,2.2,19,Sandy,Fruiting,10.1
27.4,69.7,0.1,0.1,5,Loam,Flowering,3.5
16.2,56.7,32.8,0.2,5,Loam,Flowering,0.7
17.9,69.1,8.0,0.8,12,Loam,Vegetative,0.2
18.7,70.7,7.0,1.2,12,Clay,Vegetative,3.8
21.0,40.5,7.2,0.5,27,Loam,Vegetative,2.5
30.8,22.5,3.1,0.3,2,Loam,Flowering,0.0
21.7,82.8,1.6,0.4,11,Loam,Flowering,5.2
25.4,59.6,8.7,1.8,22,Loam,Vegetative,2.0
37.1,24.1,1.2,0.2,8,Sandy,Flowering,10.2
25.5,42.2,0.4,6.5,29,Sandy,Vegetative,1.9
33.2,68.9,3.5,6.6,22,Clay,Vegetative,0.5
21.5,50.0,7.4,0.2,28,Sandy,Vegetative,9.1
26.6,45.8,0.8,3.3,28,Loam,Fruiting,0.6
21.3,80.2,14.7,3.1,4,Loam,Flowering,0.0
25.6,36.1,6.6,2.2,14,Loam,Fruiting,4.6
33.9,40.6,21.4,0.8,22,Clay,Vegetative,9.7
15.9,58.8,0.4,2.2,1,Loam,Flowering,3.6
31.0,62.0,0.1,5.1,14,Sandy,Fruiting,7.1
29.7,63.9,2.4,0.9,20,Loam,Vegetative,2.3
23.8,71.4,0.3,4.2,23,Loam,Flowering,0.0
17.9,58.6,12.9,1.7,13,Loam,Vegetative,0.1
28.5,63.8,10.5,5.9,26,Loam,Vegetative,0.0
24.3,50.3,4.3,2.6,20,Loam,Flowering,6.2
29.6,56.1,1.6,4.7,2,Loam,Vegetative,0.0
28.2,56.9,6.4,8.1,9,Clay,Flowering,0.0
39.2,58.9,6.5,1.5,28,Loam,Fruiting,10.6
26.3,68.9,12.8,3.0,1,Loam,Vegetative,0.0
20.8,65.0,1.7,9.5,4,Sandy,Vegetative,0.1
29.3,55.8,11.0,14.9,10,Sandy,Fruiting,0.0
29.5,40.4,9.4,2.2,29,Loam,Flowering,4.6
37.5,56.2,4.6,7.7,21,Loam,Fruiting,2.3
33.8,54.5,0.4,1.2,5,Loam,Vegetative,1.6
30.5,58.5,1.0,1.4,12,Loam,Flowering,5.3
38.2,94.7,0.9,7.4,28,Sandy,Fruiting,4.4
19.7,45.6,6.3,2.7,7,Loam,Vegetative,0.3
23.5,62.6,15.4,4.8,17,Clay,Fruiting,2.3
21.5,74.2,8.7,1.2,14,Loam,Flowering,1.6
25.3,56.8,2.2,4.4,23,Loam,Fruiting,4.0
18.4,97.1,7.6,5.1,22,Clay,Vegetative,0.0
32.4,48.2,9.2,1.3,25,Sandy,Flowering,7.0
26.4,60.8,32.4,1.9,4,Loam,Vegetative,0.3
17.7,40.6,0.4,1.1,14,Clay,Fruiting,2.4
20.9,48.7,6.6,5.9,21,Loam,Vegetative,3.7
30.2,59.5,17.8,3.2,13,Sandy,Vegetative,3.7
33.9,70.2,0.4,0.5,20,Clay,Fruiting,4.0
42.0,60.7,2.3,8.4,19,Sandy,Vegetative,3.3
48.0,77.7,7.7,2.9,11,Loam,Flowering,6.5
30.9,53.3,4.1,1.3,3,Sandy,Vegetative,2.7
21.1,49.0,5.7,2.7,29,Loam,Flowering,1.3
13.1,98.0,5.5,0.7,24,Loam,Vegetative,4.0
29.9,62.1,9.1,1.0,26,Loam,Flowering,4.6
22.3,42.0,3.5,5.2,9,Clay,Flowering,2.8
25.1,42.5,9.8,1.0,10,Loam,Vegetative,1.2
23.7,38.0,12.1,10.5,10,Loam,Vegetative,0.0
27.0,71.9,7.3,0.7,1,Clay,Vegetative,3.0
35.5,48.4,2.9,6.0,5,Clay,Fruiting,1.1
29.1,57.3,17.3,6.1,9,Sandy,Vegetative,5.4
26.9,53.9,0.3,3.4,29,Sandy,Vegetative,1.8
20.8,68.2,5.5,0.7,6,Loam,Vegetative,2.5
16.3,39.8,11.1,1.3,15,Clay,Flowering,6.1
24.6,35.6,3.8,2.0,16,Loam,Fruiting,1.8
27.6,59.0,3.2,4.1,11,Sandy,Flowering,0.0
40.4,65.8,1.0,10.8,27,Loam,Fruiting,0.0
28.9,61.0,4.7,3.1,3,Loam,Fruiting,2.9
34.9,40.4,21.4,3.3,26,Loam,Fruiting,5.1
24.5,67.2,0.3,4.2,22,Clay,Fruiting,2.6
19.7,41.6,0.5,1.7,9,Loam,Vegetative,2.7
21.2,45.6,18.4,0.7,23,Loam,Fruiting,9.7
22.9,38.0,40.7,6.4,13,Loam,Fruiting,4.9
42.9,78.4,7.6,11.4,29,Loam,Flowering,0.7
22.3,66.4,39.8,4.7,2,Loam,Vegetative,2.7
33.9,65.9,6.3,0.9,1,Loam,Vegetative,1.6
21.7,77.4,6.5,2.8,16,Loam,Flowering,1.1
34.5,98.0,10.4,3.2,28,Loam,Flowering,1.9
30.7,24.2,30.1,1.5,2,Loam,Fruiting,1.9
26.9,41.7,2.7,3.1,23,Sandy,Vegetative,2.9
27.7,43.9,6.1,9.9,28,Loam,Flowering,0.4
23.4,39.7,21.7,1.9,15,Loam,Vegetative,0.0
31.1,35.6,20.3,2.1,26,Loam,Vegetative,4.2
24.8,49.6,18.0,3.3,22,Loam,Vegetative,2.1
19.4,33.1,9.6,2.0,7,Sandy,Fruiting,5.0
19.1,61.0,9.6,5.2,25,Clay,Flowering,3.3
29.2,55.9,6.3,1.5,21,Clay,Fruiting,5.5
39.1,63.7,0.6,2.9,1,Loam,Fruiting,0.0
29.1,64.1,3.5,4.4,17,Loam,Fruiting,0.0
27.2,65.9,11.1,0.8,19,Loam,Flowering,6.7
30.0,48.3,3.7,2.1,24,Loam,Fruiting,4.3
37.1,93.2,2.7,1.9,23,Clay,Fruiting,7.2
29.5,59.2,0.2,1.7,14,Sandy,Fruiting,9.7
25.1,21.5,13.2,1.4,9,Sandy,Vegetative,1.1
35.7,37.0,6.2,0.6,6,Loam,Fruiting,8.4
31.0,23.7,3.9,3.5,3,Sandy,Vegetative,3.3
38.8,55.3,8.8,0.3,19,Loam,Vegetative,8.5
29.3,52.8,1.4,6.3,28,Loam,Fruiting,0.0
19.4,46.6,16.8,1.2,3,Sandy,Fruiting,0.9
18.4,91.2,6.7,1.0,21,Loam,Vegetative,0.0
39.6,64.9,16.1,1.2,17,Loam,Vegetative,7.2
40.1,68.1,0.2,7.2,5,Clay,Fruiting,0.9
26.7,38.2,1.5,1.3,7,Loam,Vegetative,0.0
25.3,37.0,0.9,2.4,9,Sandy,Vegetative,2.0
38.2,55.7,2.1,0.4,20,Loam,Fruiting,10.9
20.3,58.1,9.9,5.5,9,Loam,Fruiting,0.7
21.7,21.6,1.0,6.5,25,Loam,Flowering,0.3
32.5,51.8,24.7,0.1,11,Loam,Flowering,7.1
25.2,55.3,7.8,1.1,4,Sandy,Vegetative,0.2
28.0,51.1,12.3,0.6,3,Loam,Vegetative,2.2
26.9,40.4,25.1,11.4,12,Loam,Fruiting,0.1
30.4,45.3,3.5,0.7,12,Sandy,Fruiting,9.6
37.9,51.8,9.8,4.1,22,Loam,Vegetative,4.9
28.6,56.6,0.6,4.7,14,Clay,Vegetative,0.2
32.5,65.9,0.4,8.0,5,Loam,Vegetative,2.2
13.6,74.5,5.3,1.4,7,Sandy,Vegetative,0.4
27.7,49.7,8.4,0.4,17,Loam,Vegetative,1.5
22.1,46.8,9.9,0.3,10,Sandy,Vegetative,5.1
19.5,62.9,15.9,2.8,20,Loam,Fruiting,3.3
21.9,66.0,13.4,3.6,27,Loam,Vegetative,1.9
25.7,47.2,7.0,1.5,11,Sandy,Fruiting,3.9
34.4,69.2,5.1,3.0,17,Loam,Flowering,8.2
18.7,72.6,3.9,2.4,25,Clay,Fruiting,3.3
28.2,78.3,0.0,1.7,7,Sandy,Fruiting,4.3
24.6,87.0,9.2,3.4,15,Clay,Vegetative,0.0
25.7,39.4,15.5,0.4,9,Loam,Vegetative,6.2
35.0,55.3,11.8,0.6,19,Loam,Fruiting,6.9
31.8,55.2,3.4,3.6,22,Sandy,Vegetative,7.8
37.4,53.2,5.1,12.5,5,Sandy,Vegetative,0.0
26.9,43.3,3.8,3.1,6,Sandy,Vegetative,5.2
23.1,28.3,4.8,1.7,1,Loam,Fruiting,0.0
26.4,56.7,6.4,4.4,1,Clay,Vegetative,3.2
29.7,41.2,0.8,13.0,2,Clay,Flowering,0.0
29.2,56.5,2.2,1.2,21,Sandy,Flowering,6.4
20.4,40.7,0.9,1.2,27,Sandy,Fruiting,6.9
28.6,35.2,0.1,0.0,12,Sandy,Vegetative,6.8
29.6,59.2,2.9,1.4,26,Clay,Fruiting,7.2
45.6,57.7,4.4,0.3,22,Sandy,Fruiting,13.1
41.1,65.4,4.0,7.1,24,Sandy,Flowering,5.0
22.0,94.3,0.3,9.2,22,Loam,Vegetative,2.5
26.0,60.0,13.7,0.5,6,Loam,Fruiting,3.7
17.8,63.7,1.3,12.6,16,Sandy,Fruiting,1.1
23.9,35.6,7.3,2.2,16,Loam,Vegetative,2.0
30.2,31.8,7.8,0.1,19,Sandy,Vegetative,7.0
36.4,83.5,1.0,8.2,24,Sandy,Vegetative,0.2
22.9,38.4,0.3,1.4,4,Sandy,Vegetative,0.2
23.4,36.2,0.2,5.5,20,Loam,Vegetative,0.0
13.0,54.3,2.6,1.4,25,Clay,Vegetative,1.1
26.9,53.4,6.9,0.8,4,Loam,Vegetative,2.0
20.6,38.8,1.2,2.5,13,Loam,Fruiting,6.2
24.3,49.5,0.6,0.5,26,Loam,Fruiting,7.6
21.9,77.1,7.2,4.4,1,Loam,Fruiting,0.6
27.3,40.5,1.2,5.3,5,Clay,Flowering,0.0
15.7,29.9,13.3,0.8,24,Loam,Flowering,1.8
17.7,72.0,5.4,4.2,5,Clay,Vegetative,3.9
42.9,63.9,7.1,3.7,21,Loam,Fruiting,6.2
19.0,43.8,16.7,9.6,27,Loam,Vegetative,0.2
20.3,26.5,1.4,0.3,15,Sandy,Flowering,5.9
40.9,41.6,6.5,0.6,15,Loam,Fruiting,10.0
48.0,54.0,3.4,1.4,13,Loam,Fruiting,9.2
19.8,76.0,1.1,0.7,11,Clay,Vegetative,0.2
25.4,36.3,7.2,1.6,12,Clay,Fruiting,3.3
30.4,53.5,0.3,0.3,17,Loam,Vegetative,3.1
40.1,67.2,15.0,4.6,26,Clay,Vegetative,5.1
21.1,12.1,9.2,3.6,29,Clay,Vegetative,0.6
26.3,73.6,31.6,1.9,26,Loam,Vegetative,2.5
33.4,33.7,4.9,8.5,4,Sandy,Fruiting,0.4
31.0,61.0,20.2,15.6,9,Sandy,Vegetative,1.3
25.4,59.4,1.6,1.6,22,Sandy,Vegetative,2.8
27.1,74.5,6.0,8.3,16,Sandy,Fruiting,2.8
18.4,64.9,6.0,1.7,10,Clay,Flowering,0.0
26.3,12.2,9.3,5.1,10,Sandy,Vegetative,4.0
26.1,40.9,23.3,5.4,4,Loam,Flowering,0.1
29.6,57.5,12.7,1.3,10,Loam,Flowering,5.1
24.1,51.5,0.6,3.3,13,Loam,Flowering,0.8
31.3,63.6,6.7,1.5,13,Sandy,Flowering,4.1
35.1,69.2,3.1,4.4,16,Loam,Fruiting,1.5
29.1,66.0,1.1,1.6,8,Loam,Vegetative,1.1
30.5,51.1,5.2,0.5,6,Loam,Flowering,6.0
28.4,21.8,4.1,5.4,26,Sandy,Vegetative,0.0
28.0,46.8,0.3,4.4,12,Loam,Fruiting,0.0
22.9,62.5,6.3,5.2,8,Sandy,Vegetative,0.0
30.2,35.4,0.8,3.9,19,Loam,Vegetative,1.2
27.3,66.4,11.1,5.2,16,Loam,Fruiting,2.1
42.7,71.4,2.4,0.7,17,Sandy,Flowering,9.6
39.0,57.3,7.2,4.6,7,Clay,Vegetative,3.1
30.7,10.0,1.5,0.8,21,Sandy,Vegetative,8.6
22.7,32.0,18.4,3.0,6,Clay,Vegetative,4.6
20.2,89.0,0.4,3.1,25,Clay,Fruiting,0.0
36.3,45.2,17.6,1.3,13,Loam,Flowering,6.2
29.8,19.3,1.6,3.2,12,Loam,Vegetative,3.9
31.4,77.2,1.3,4.6,12,Sandy,Flowering,2.4
15.8,55.2,7.4,2.3,13,Clay,Flowering,2.8
34.5,74.9,6.3,0.4,20,Loam,Vegetative,5.5
31.2,60.0,25.3,1.0,15,Sandy,Fruiting,13.3
20.2,63.3,5.4,4.7,4,Loam,Vegetative,2.1
24.7,61.5,1.9,2.0,17,Sandy,Fruiting,7.6
29.8,67.6,7.1,1.5,8,Loam,Fruiting,4.4
28.4,96.0,6.4,7.4,4,Loam,Vegetative,0.0
26.0,72.5,6.4,1.7,25,Sandy,Fruiting,5.6
27.3,26.6,27.3,10.9,10,Clay,Fruiting,0.0
26.2,63.0,2.4,3.7,18,Sandy,Flowering,6.4
29.1,75.5,4.4,6.5,5,Loam,Flowering,1.5
38.3,76.6,13.9,1.8,10,Loam,Vegetative,3.9
10.0,47.3,8.5,5.5,12,Clay,Vegetative,2.6
26.3,76.0,1.8,1.0,4,Loam,Fruiting,1.7
29.2,71.7,11.2,1.2,29,Clay,Vegetative,0.0
30.1,98.0,1.5,4.1,10,Loam,Vegetative,2.5
25.4,41.5,8.7,0.4,17,Clay,Flowering,2.1
15.7,45.9,15.5,1.4,17,Sandy,Vegetative,2.1
30.3,49.5,11.5,3.6,13,Loam,Fruiting,5.6
40.1,46.2,0.1,8.9,17,Sandy,Fruiting,5.8
17.3,39.0,5.7,0.9,17,Clay,Fruiting,5.0
34.0,10.0,1.3,5.7,3,Clay,Vegetative,1.2
25.7,47.2,3.1,2.3,20,Loam,Flowering,4.8
27.6,61.6,11.0,13.8,4,Loam,Fruiting,0.0
20.6,46.1,1.5,6.9,13,Loam,Vegetative,0.6
25.7,89.8,21.2,2.7,11,Sandy,Fruiting,2.3
37.1,55.2,0.2,4.9,13,Loam,Flowering,6.7
32.1,78.2,1.5,0.1,3,Loam,Vegetative,0.0
40.1,59.7,0.4,6.2,21,Loam,Vegetative,0.8
36.2,69.9,5.5,1.1,13,Sandy,Fruiting,6.8
31.1,60.0,2.3,4.6,2,Clay,Vegetative,0.0
40.2,79.6,5.6,2.7,1,Sandy,Fruiting,0.4
31.1,56.0,16.7,1.3,16,Loam,Flowering,5.2
33.8,63.9,7.8,8.2,20,Sandy,Vegetative,2.4
25.9,61.6,0.4,0.1,16,Sandy,Fruiting,7.6
28.5,49.8,0.0,1.7,21,Sandy,Flowering,4.8
23.1,62.3,8.7,1.3,22,Loam,Vegetative,2.6
34.9,95.2,0.8,0.9,26,Loam,Fruiting,9.2
19.8,50.1,5.9,2.9,29,Loam,Fruiting,4.7
33.5,62.6,19.3,2.9,26,Loam,Flowering,3.5
26.7,77.6,6.5,2.5,24,Loam,Fruiting,2.9
36.2,75.5,10.5,3.4,13,Sandy,Flowering,7.2
33.3,55.2,3.9,1.0,15,Sandy,Flowering,8.3
40.7,12.1,4.0,9.7,18,Loam,Vegetative,0.0
33.1,64.3,0.3,0.2,5,Loam,Vegetative,5.0
17.0,15.0,1.3,8.1,20,Loam,Flowering,0.0
27.5,81.5,0.4,0.2,18,Sandy,Flowering,8.6
19.8,58.1,3.0,1.3,16,Clay,Fruiting,4.1
24.4,73.0,8.9,2.1,25,Sandy,Flowering,2.2
38.6,38.8,1.1,0.7,20,Loam,Flowering,7.0
32.5,27.1,14.4,1.8,28,Sandy,Fruiting,9.3
23.1,59.7,5.9,1.6,29,Loam,Fruiting,4.8
20.9,54.4,7.2,3.8,24,Loam,Vegetative,0.1
28.2,46.2,13.6,1.5,9,Loam,Fruiting,3.7
19.5,56.5,5.4,1.9,6,Sandy,Fruiting,0.3
23.3,98.0,7.3,1.2,9,Loam,Vegetative,3.1
30.2,70.0,6.1,13.6,21,Sandy,Vegetative,0.6
36.1,73.9,0.5,0.8,26,Loam,Vegetative,5.0
32.3,70.2,1.6,1.9,26,Sandy,Fruiting,8.1
12.0,81.6,12.6,3.0,20,Sandy,Flowering,0.0
30.1,51.6,27.6,1.4,20,Loam,Flowering,7.2
28.5,18.0,1.4,0.1,28,Sandy,Fruiting,14.5
30.9,51.6,4.2,2.6,20,Sandy,Vegetative,6.4
39.3,69.6,2.4,1.9,5,Clay,Vegetative,1.7
13.6,37.5,8.3,0.1,15,Clay,Fruiting,2.2
23.9,51.8,6.3,2.6,11,Clay,Fruiting,0.0
32.1,42.5,0.3,0.9,19,Loam,Fruiting,9.5
16.9,82.0,27.5,4.0,19,Loam,Vegetative,1.6
38.3,68.5,20.6,0.1,9,Loam,Vegetative,5.2
30.6,66.7,10.1,1.7,9,Sandy,Vegetative,1.2
33.9,66.2,6.2,1.0,3,Loam,Flowering,0.7
24.0,54.3,2.7,0.2,9,Sandy,Vegetative,4.9
33.7,58.6,4.0,6.5,25,Clay,Fruiting,1.8
35.5,33.7,3.2,1.9,19,Loam,Fruiting,9.4
29.6,15.6,4.1,1.4,28,Loam,Flowering,6.3
29.6,57.7,0.6,4.7,27,Loam,Vegetative,2.8
29.9,60.8,15.0,1.8,25,Sandy,Vegetative,5.6
22.0,76.8,6.9,3.2,6,Loam,Flowering,2.6
27.0,83.3,4.6,1.9,10,Loam,Fruiting,0.0
26.9,83.3,9.7,1.7,2,Loam,Vegetative,0.0
30.7,37.0,9.8,3.3,3,Loam,Fruiting,1.2
35.0,48.7,0.2,0.1,7,Sandy,Vegetative,7.8
20.6,63.6,1.4,1.9,9,Loam,Vegetative,5.1
27.1,98.0,5.3,9.5,1,Loam,Fruiting,0.0
38.4,81.6,13.5,0.4,25,Sandy,Vegetative,6.1
22.8,75.1,14.1,5.3,16,Clay,Vegetative,0.0
22.2,48.0,3.0,0.8,20,Loam,Flowering,5.9
29.4,39.1,11.2,6.4,19,Loam,Vegetative,0.0
33.9,69.2,0.2,0.5,29,Clay,Vegetative,9.9
28.1,35.2,9.5,1.5,5,Loam,Vegetative,1.0
37.3,50.7,4.8,2.7,10,Clay,Vegetative,7.0
34.0,52.9,2.6,11.9,9,Loam,Flowering,1.5
33.9,83.7,6.3,0.9,16,Loam,Vegetative,2.3
31.9,48.6,7.2,4.3,16,Sandy,Fruiting,7.0
44.3,11.1,22.4,1.4,23,Sandy,Fruiting,19.3
26.6,64.1,27.4,4.9,17,Loam,Vegetative,0.7
14.0,42.4,4.5,3.2,7,Sandy,Vegetative,1.7
39.2,55.8,13.9,0.3,17,Sandy,Vegetative,10.0
24.8,53.4,4.1,2.4,28,Loam,Vegetative,3.4
28.8,50.1,7.7,0.5,17,Loam,Vegetative,4.5
37.2,69.2,1.9,1.0,18,Sandy,Fruiting,7.4
16.8,27.4,1.2,2.6,6,Loam,Vegetative,0.1
19.2,45.7,6.2,0.6,1,Clay,Flowering,0.7
16.8,67.3,3.1,8.1,7,Loam,Fruiting,0.0
22.4,43.9,2.8,1.8,1,Loam,Fruiting,0.3
31.1,26.0,0.5,2.3,14,Loam,Vegetative,3.2
31.7,67.0,1.1,2.4,26,Sandy,Vegetative,1.3
29.9,75.2,8.8,1.5,13,Loam,Fruiting,5.2
18.1,54.2,8.7,1.3,19,Clay,Vegetative,1.0
11.8,19.7,5.0,3.0,25,Loam,Fruiting,5.1
28.4,67.7,6.8,6.0,23,Loam,Fruiting,2.7
24.7,25.1,0.4,4.2,19,Clay,Flowering,3.5
31.2,60.6,13.4,0.6,23,Sandy,Vegetative,5.8
32.9,39.0,6.8,6.7,9,Loam,Vegetative,0.0
29.0,34.1,9.1,3.7,13,Loam,Flowering,5.1
33.3,47.0,1.4,6.5,12,Sandy,Flowering,1.7
29.6,51.7,8.3,1.3,24,Loam,Fruiting,6.1
31.7,43.4,8.5,6.7,12,Clay,Fruiting,0.0
23.1,65.6,3.1,0.7,28,Loam,Fruiting,5.1
26.7,47.0,27.6,4.9,6,Sandy,Fruiting,6.1
29.4,72.6,3.2,1.8,5,Loam,Fruiting,5.3
33.7,60.1,17.6,0.0,21,Sandy,Vegetative,10.6
25.2,42.4,13.4,8.1,23,Clay,Flowering,3.5
31.6,39.4,18.6,6.9,20,Sandy,Flowering,0.2
26.1,25.3,4.6,0.7,9,Clay,Flowering,1.7
27.2,60.2,1.7,1.1,1,Loam,Vegetative,0.0
33.8,48.6,1.4,4.3,10,Loam,Flowering,4.5
14.0,12.3,10.8,4.3,14,Loam,Vegetative,0.0
18.9,45.4,5.9,3.9,12,Sandy,Vegetative,0.0
17.6,38.8,4.7,0.2,27,Loam,Fruiting,4.2
11.7,83.4,4.3,0.7,26,Clay,Flowering,2.3
23.3,24.3,0.3,0.4,23,Clay,Flowering,1.2
33.2,29.1,3.4,2.1,1,Sandy,Flowering,0.0
26.0,75.0,20.3,0.1,4,Loam,Flowering,3.7
29.4,79.4,7.8,0.4,13,Clay,Vegetative,5.8
35.6,41.6,1.9,2.7,19,Clay,Flowering,4.5
37.3,43.6,14.0,0.5,20,Loam,Vegetative,5.1
27.5,66.1,8.8,3.9,9,Sandy,Fruiting,0.1
37.5,13.1,24.4,0.3,4,Clay,Vegetative,6.2
28.6,21.5,2.6,7.2,10,Loam,Fruiting,0.0
22.1,49.9,2.0,0.8,23,Loam,Fruiting,2.6
23.8,82.9,17.6,0.9,29,Loam,Flowering,1.1
17.6,47.2,4.1,0.0,28,Sandy,Vegetative,0.7
21.8,56.8,3.3,4.1,18,Clay,Vegetative,0.0
25.5,75.4,9.4,1.9,3,Sandy,Fruiting,2.0
33.6,92.9,3.5,13.3,29,Loam,Fruiting,0.0
40.0,44.6,1.9,0.4,5,Clay,Fruiting,6.4
18.3,54.7,10.1,5.8,8,Clay,Fruiting,0.0
30.7,87.8,6.6,0.6,29,Clay,Flowering,9.1
20.7,27.6,1.2,2.9,15,Clay,Fruiting,0.0
31.3,73.5,9.7,1.1,6,Sandy,Flowering,5.6
27.1,36.7,1.3,2.0,15,Clay,Flowering,3.7
